[07/07 18:38:43.989] | CRITICAL | watchdog   | main_reactor | 
top - 18:38:43 up  3:03,  1 user,  load average: 6.29, 5.34, 4.90
 1000 seco      20   0   13176   3056   2348 S   0.0  0.1   0:00.00 sshd
 1003 root      20   0   13176   6256   5552 S   0.0  0.2   0:00.17 sshd
 1008 seco      20   0   13176   3212   2508 S   0.0  0.1   0:00.00 sshd
 1012 root      20   0   13176   6188   5480 S   0.0  0.2   0:00.17 sshd
 1020 seco      20   0   13176   3136   2428 S   0.0  0.1   0:00.00 sshd
 1092 root      20   0       0      0      0 I   0.0  0.0   0:01.70 kworker/u8+
 1214 root      20   0    2988    116     44 S   0.0  0.0   0:00.30 iscsid
 1216 root      10 -10    3448   2768   1912 S   0.0  0.1   0:01.55 iscsid
 1285 root      20   0   38704   5924   5416 S   0.0  0.1   0:04.58 accounts-d+
 1297 root      20   0    4076   3036   2764 S   0.0  0.1   0:07.94 systemd-lo+
 1303 root      20   0    5584   2748   2532 S   0.0  0.1   0:00.02 cron
 1307 avahi     20   0    6708   3924   3056 S   0.0  0.1   1:49.85 avahi-daem+
 1309 root      20   0   20368   1304   1204 S   0.0  0.0   0:00.01 lxcfs
 1317 root      20   0   10004   5676   5160 S   0.0  0.1   0:01.74 sshd
 1318 syslog    20   0   31656   3000   2612 S   0.0  0.1   0:00.02 rsyslogd
 1321 daemon    20   0    3484   2168   2004 S   0.0  0.1   0:00.00 atd
 1336 root      20   0    2336    616    560 S   0.0  0.0   0:05.14 banner_apcc
 1340 message+  20   0    6308   4032   3432 S   0.0  0.1   0:23.56 dbus-daemon
 1342 avahi     20   0    5920    276      0 S   0.0  0.0   0:00.00 avahi-daem+
 1368 root      20   0    2248   1108   1040 S   0.0  0.0   0:00.00 acpid
 1369 root      20   0    2372   1540   1448 S   0.0  0.0   0:01.88 zxy_device+
 1375 root      15  -5  864632  14520   9364 S   0.0  0.4   0:00.09 snapd
 1410 root      20   0    4440    204      0 S   0.0  0.0   0:00.94 irqbalance
 1424 ntp       20   0   15632   4356   3892 S   0.0  0.1   0:01.05 ntpd
 1428 root      20   0    3136    124     16 S   0.0  0.0   0:00.00 mdadm
 1446 root      20   0   36840   5880   5384 S   0.0  0.1   0:06.96 polkitd
 1461 root      20   0    4752   1712   1612 S   0.0  0.0   0:00.00 agetty
 1675 seco      20   0    6372   4296   3744 S   0.0  0.1   0:00.08 systemd
 1687 seco      20   0    7524   1328      0 S   0.0  0.0   0:00.00 (sd-pam)
 2193 root      20   0    4296   2656   2432 S   0.0  0.1   0:00.00 nodm
 2197 root      20   0   64900  18520  12816 S   0.0  0.5   6:05.87 Xorg
 2210 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u9+
 2214 root      20   0    5872   3196   2788 S   0.0  0.1   0:00.00 nodm
 2215 root      20   0    6096   3968   3324 S   0.0  0.1   0:00.07 systemd
 2216 root      20   0    7524   1328      0 S   0.0  0.0   0:00.00 (sd-pam)
 2235 root      20   0    2372    612    568 S   0.0  0.0   0:00.00 sh
 2252 root      20   0   20392  14372   6972 S   0.0  0.4   0:05.64 python
 2270 root      20   0       0      0      0 I   0.0  0.0   0:00.57 kworker/3:+
 2271 root      20   0    4608    192      0 S   0.0  0.0   0:00.05 ssh-agent
 2367 uuidd     20   0    6732   1284   1128 S   0.0  0.0   0:00.02 uuidd
 2574 root      20   0  199408  49300  21204 S   0.0  1.2   0:50.20 python
 2578 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:+
 3337 root      20   0   13176   6080   5380 S   0.0  0.2   0:00.17 sshd
 3341 seco      20   0   13176   3272   2572 S   0.0  0.1   0:00.00 sshd
 3343 root      20   0   13176   6192   5484 S   0.0  0.2   0:00.17 sshd
 3354 seco      20   0   13176   2992   2284 S   0.0  0.1   0:00.00 sshd
 3357 root      20   0   13176   6252   5548 S   0.0  0.2   0:00.17 sshd
 3361 seco      20   0   13176   3220   2516 S   0.0  0.1   0:00.00 sshd
 3368 root      20   0   13176   6156   5448 S   0.0  0.2   0:00.16 sshd
 3373 seco      20   0   13176   3004   2296 S   0.0  0.1   0:00.00 sshd
 3654 root      20   0   13176   6292   5588 S   0.0  0.2   0:00.15 sshd
 3712 seco      20   0   13176   2952   2252 S   0.0  0.1   0:00.06 sshd
 3714 seco      20   0    7072   4540   3000 S   0.0  0.1   0:00.23 bash
 3916 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
 4021 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
 4037 root      20   0       0      0      0 I   0.0  0.0   0:00.18 kworker/0:+
 4040 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:+
 5708 root      20   0       0      0      0 I   0.0  0.0   0:00.21 kworker/u8+
 6196 root      20   0   13176   6200   5496 S   0.0  0.2   0:00.17 sshd
 6204 seco      20   0   13176   3100   2396 S   0.0  0.1   0:00.00 sshd
 6390 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
 7657 root      20   0   13176   6164   5456 S   0.0  0.2   0:00.17 sshd
 7666 seco      20   0   13176   3080   2372 S   0.0  0.1   0:00.00 sshd
 7859 root      20   0       0      0      0 I   0.0  0.0   0:00.23 kworker/3:+
 8121 root      20   0   13176   6204   5496 S   0.0  0.2   0:00.17 sshd
 8131 seco      20   0   13176   3104   2396 S   0.0  0.1   0:00.00 sshd
 8133 root      20   0   13176   6164   5460 S   0.0  0.2   0:00.18 sshd
 8147 seco      20   0   13176   3004   2300 S   0.0  0.1   0:00.00 sshd
 8150 root      20   0   13176   6220   5516 S   0.0  0.2   0:00.17 sshd
 8159 seco      20   0   13176   3340   2636 S   0.0  0.1   0:00.00 sshd
 8163 root      20   0   13176   6324   5620 S   0.0  0.2   0:00.17 sshd
 8177 seco      20   0   13176   3068   2364 S   0.0  0.1   0:00.00 sshd
 8471 root      20   0   13176   6220   5516 S   0.0  0.2   0:00.18 sshd
 8480 seco      20   0   13176   3072   2368 S   0.0  0.1   0:00.00 sshd
 8483 root      20   0   13176   6244   5536 S   0.0  0.2   0:00.17 sshd
 8496 seco      20   0   13176   3124   2416 S   0.0  0.1   0:00.00 sshd
 8497 seco      20   0    5456   2836   2688 S   0.0  0.1   0:00.00 bash
 8498 root      20   0   13176   6212   5508 S   0.0  0.2   0:00.18 sshd
 8499 seco      20   0  137764   8276   8028 S   0.0  0.2   0:00.06 journalctl
 8505 seco      20   0   13176   3052   2348 S   0.0  0.1   0:00.00 sshd
 8507 root      20   0   13176   6216   5508 S   0.0  0.2   0:00.17 sshd
 8521 seco      20   0   13176   3220   2512 S   0.0  0.1   0:00.00 sshd
 8627 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:+
 8922 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:+
 9306 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
 9910 root       0 -20       0      0      0 I   0.0  0.0   0:00.23 kworker/1:+
10092 root      20   0       0      0      0 I   0.0  0.0   0:00.07 kworker/0:+
10334 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
10836 root      20   0       0      0      0 I   0.0  0.0   0:00.28 kworker/u8+
12142 root      20   0   13176   6160   5460 S   0.0  0.2   0:00.18 sshd
12148 seco      20   0   13176   3004   2304 S   0.0  0.1   0:00.00 sshd
12367 root      20   0       0      0      0 I   0.0  0.0   0:00.92 kworker/0:+
12750 root      20   0    4280    572    528 S   0.0  0.0   0:00.00 sleep
12756 root      20   0    2372    564    520 S   0.0  0.0   0:00.01 sh
13079 root      20   0   13176   6224   5516 S   0.0  0.2   0:00.18 sshd
13088 seco      20   0   13176   3204   2496 S   0.0  0.1   0:00.00 sshd
13090 root      20   0   13176   6240   5536 S   0.0  0.2   0:00.17 sshd
13102 seco      20   0   13176   3276   2572 S   0.0  0.1   0:00.00 sshd
13105 root      20   0   13176   6272   5564 S   0.0  0.2   0:00.17 sshd
13111 seco      20   0   13176   3136   2428 S   0.0  0.1   0:00.00 sshd
13113 root      20   0   13176   6224   5516 S   0.0  0.2   0:00.17 sshd
13125 seco      20   0   13176   2988   2280 S   0.0  0.1   0:00.00 sshd
16105 root      20   0   13176   6216   5508 S   0.0  0.2   0:00.17 sshd
16111 seco      20   0   13176   3116   2408 S   0.0  0.1   0:00.00 sshd
16638 root      20   0   13176   6180   5472 S   0.0  0.2   0:00.17 sshd
16644 seco      20   0   13176   3256   2548 S   0.0  0.1   0:00.00 sshd
16646 root      20   0   13176   6328   5620 S   0.0  0.2   0:00.17 sshd
16658 seco      20   0   13176   3072   2364 S   0.0  0.1   0:00.00 sshd
16660 root      20   0   13176   6172   5464 S   0.0  0.2   0:00.17 sshd
16665 seco      20   0   13176   3316   2608 S   0.0  0.1   0:00.00 sshd
16667 root      20   0   13176   6252   5552 S   0.0  0.2   0:00.17 sshd
16679 seco      20   0   13176   3052   2352 S   0.0  0.1   0:00.00 sshd
21880 root      20   0   13176   6372   5672 S   0.0  0.2   0:00.17 sshd
21890 seco      20   0   13176   3136   2436 S   0.0  0.1   0:00.00 sshd
22448 root       0 -20       0      0      0 I   0.0  0.0   0:00.67 kworker/2:+
22810 root      20   0   13176   6188   5484 S   0.0  0.2   0:00.17 sshd
22818 seco      20   0   13176   3316   2612 S   0.0  0.1   0:00.00 sshd
22825 root      20   0   13176   6156   5448 S   0.0  0.2   0:00.17 sshd
22838 seco      20   0   13176   3040   2332 S   0.0  0.1   0:00.00 sshd
22841 root      20   0   13176   6264   5564 S   0.0  0.2   0:00.17 sshd
22847 seco      20   0   13176   3204   2504 S   0.0  0.1   0:00.00 sshd
22849 root      20   0   13176   6180   5472 S   0.0  0.2   0:00.17 sshd
22863 seco      20   0   13176   3284   2576 S   0.0  0.1   0:00.00 sshd
26548 root      20   0       0      0      0 I   0.0  0.0   0:00.66 kworker/3:+
26587 root      20   0   13176   6208   5504 S   0.0  0.2   0:00.16 sshd
26597 seco      20   0   13176   3276   2572 S   0.0  0.1   0:00.00 sshd
26762 root      20   0       0      0      0 I   0.0  0.0   0:00.52 kworker/2:+
26989 root      20   0   13176   6236   5528 S   0.0  0.2   0:00.17 sshd
26993 seco      20   0   13176   3212   2504 S   0.0  0.1   0:00.00 sshd
26995 root      20   0   13176   6168   5468 S   0.0  0.2   0:00.17 sshd
27005 seco      20   0   13176   3140   2440 S   0.0  0.1   0:00.00 sshd
27008 root      20   0   13176   6204   5496 S   0.0  0.2   0:00.18 sshd
27012 seco      20   0   13176   3072   2364 S   0.0  0.1   0:00.00 sshd
27014 root      20   0   13176   6244   5540 S   0.0  0.2   0:00.17 sshd
27029 seco      20   0   13176   3112   2408 S   0.0  0.1   0:00.00 sshd
27281 root      20   0       0      0      0 I   0.0  0.0   0:01.77 kworker/1:+
28109 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
28709 root       0 -20       0      0      0 I   0.0  0.0   0:00.27 kworker/0:+
29122 root      20   0       0      0      0 I   0.0  0.0   0:02.42 kworker/u8+
30803 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/2:+
31519 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
31957 root      20   0       0      0      0 I   0.0  0.0   0:00.13 kworker/0:+
32020 root      20   0   13176   6216   5512 S   0.0  0.2   0:00.17 sshd
32028 seco      20   0   13176   3212   2508 S   0.0  0.1   0:00.00 sshd
32354 root      20   0   13176   6264   5564 S   0.0  0.2   0:00.17 sshd
32361 seco      20   0   13176   3124   2424 S   0.0  0.1   0:00.00 sshd

[07/07 18:38:43.989] | CRITICAL | watchdog   | main_reactor | *** Top Output (cpu_load) - END ***
[07/07 18:38:43.997] | WARNING  | net_monitor | main_reactor | check_network_connectivity_async(): Skipping due to high CPU load (6.29 > 3.5)
[07/07 18:38:45.216] | WARNING  | parking.event_mon | main_reactor | _is_free_or_no_parking_now(): current_srb_type fixed next_srb_type fixed min_to_free 1431 rp_min_to_free 1431
[07/07 18:38:55.333] | INFO     | detection  | main_reactor | Watchdog puck: 1 SUM energy: 0 Z energy: 0 light 1000 photocell state 0
[07/07 18:38:55.333] | INFO     | detection  | main_reactor | Watchdog puck: 2 SUM energy: 0 Z energy: 0 light 1000 photocell state 0
[07/07 18:39:26.669] | INFO     | playback   | main_reactor | play: en_touch_screen.mp3
[07/07 18:39:45.051] | WARNING  | parking.event_mon | main_reactor | _is_free_or_no_parking_now(): current_srb_type fixed next_srb_type fixed min_to_free 1430 rp_min_to_free 1430
[07/07 18:39:56.735] | INFO     | detection  | main_reactor | Watchdog puck: 1 SUM energy: 0 Z energy: 0 light 1000 photocell state 0
[07/07 18:39:56.736] | INFO     | detection  | main_reactor | Watchdog puck: 2 SUM energy: 0 Z energy: 0 light 1000 photocell state 0
[07/07 18:40:41.613] | INFO     | rabbitmq   | RabbitMQ RPC | _handle_device_request(): Rcv req: u'rpc_parking' Payload: '{"method":"get_sessions_extended_data","params":["SPOT_1"],"jsonrpc":"2.0","id":77870062}'
[07/07 18:40:41.615] | INFO     | parking.controller | SentryJSONRPCServer | calculate_hours_offset(): hour = 5
[07/07 18:40:41.616] | INFO     | parking.session.SPOT_1 | SentryJSONRPCServer | get_initial_violation_timestamp: None
[07/07 18:40:41.706] | ERROR    | parking_serv | SentryJSONRPCServer | _generate_parking_session_extended_json(): Payments 3
[07/07 18:40:41.708] | WARNING  | parking.controller | SentryJSONRPCServer | get_vio_grace_time_remaining(): spot_id SPOT_1 session_vio_grace_timestamp None
[07/07 18:40:41.719] | INFO     | rabbitmq   | RabbitMQ RPC | _handle_device_request(): Endpoint parking response {"jsonrpc": "2.0", "id": 77870062, "result": {"retry": false, "rpc_id": 0, "success": true, "error_message": null, "payload_type": "<type 'list'>", "error_code": null, "payload": [{"violation_info": {"violation": null, "violation_reason": null, "additional_violations": []}, "settings": {"SYS_OUT_OF_SERVICE": false, "PARKING_VIOLATION_GRACE_PERIOD": 300, "SYS_PERMIT_ENABLE": false, "SYS_SOFT_VIOLATION": false, "PARKING_UNLOCK_TIME": 1, "PARKING_UNLOCK_ENABLED": true, "PARKING_UNLOCK_MAX": 1, "PARKING_TRUEUP_ENABLED": false, "PARKING_HANDICAP_VIOLATION_GRACE_PERIOD": 86400, "PARKING_PERMIT_TEXT": true}, "rate_info": {"free_time_remaining": 0, "pay_rateblock_start_time": "2026-07-07T13:34:00Z", "rate_state": "RATE", "pay_rateblock_end_time": "2026-07-08T00:00:52Z", "minutes_increment_factor": 30, "card_increment_time": 30, "payment_allowed_now": true, "next_rateblock_type": "fixed", "free_time_first_purchase": 10, "pay_rate_blk_id": 638717, "congestion_percent_full": 0}, "session_info": {"void_timestamp": null, "vio_mins": 0, "is_no_parking_now": false, "reserved": null, "soft_violation": false, "sms": null, "adjusted_payment_dts": [{"payment_timestamp": "2026-07-07T18:31:25Z", "sl_payment_dt": "2026-07-07T13:31:25-05:00"}, {"payment_timestamp": "2026-07-07T18:31:26Z", "sl_payment_dt": null}, {"payment_timestamp": "2026-07-07T18:33:03Z", "sl_payment_dt": "2026-07-07T13:33:02-05:00"}], "merchant_validated": false, "in_maintenance": false, "concierge": false, "last_grace_time": null, "max_time_allowed": 253, "spot_identifier": "SPOT_1", "pre_vio_payment_count": 0, "maintenance_no": false, "close_timestamp": null, "lpr_plate": "09010AA", "parker_type": "normal", "total_time_purchased": 253.0, "init_grace_time_remaining": 0, "time_in_vio": 0, "unlocked": true, "handicap_pin": null, "reserved_pin": null, "pre_vio_total_valid_time": 0, "free_to_reservation": false, "merchant_offer_name": "", "expired_time": 0, "maintenance": false, "exit_timestamp": null, "lock_end_dt": null, "session_base_valid_end_timestamp": null, "email": null, "is_free_parking_now": false, "pre_vio_valid_time": 0, "handicap": false, "parking_spot_state": "PARKING_STATE_VALID", "reservation_payment_time": null, "ticket_issued": null, "ticket_issued_dt": null, "has_paid_for_max_time": true, "out_of_service": false, "maxtime_minutes_remaining": 0.0, "maintenance_unenforced": false, "is_reserved": false, "no_fine_fee": 0, "merchant_id": 0, "vio_grace_time_remaining": 0, "pin_code": null, "payment_history": [{"error": "", "amount": 25, "payment_type": "virt", "active_spot": null, "parking_state": "PARKING_STATE_VALID", "event_dt": "2026-07-07T18:31:26Z"}, {"error": "", "amount": 9, "payment_type": "virt", "active_spot": null, "parking_state": "PARKING_STATE_VALID", "event_dt": "2026-07-07T18:31:27Z"}, {"error": "", "amount": 175, "payment_type": "virt", "active_spot": null, "parking_state": "PARKING_STATE_VALID", "event_dt": "2026-07-07T18:33:04Z"}], "psv_state": "PSV_STATE_VALID_MAX", "vio_payment_amount": 0, "locked": false, "session_valid_timestamp": "2026-07-07T18:31:25Z", "initial_violation_timestamp": null, "true_up": 0, "mobile": true, "true_up_cost": 0, "free_time_purchased": 0, "unlock_count": 0, "lpr_detected": true, "session_id": "178f9dd77a3111f1be5400c008947d30", "vio_grace_mins": 0, "maintenance_free": false, "expired_time_dt": null, "plate_reservations": [], "payments": [{"rate_blocks": ["2026-07-07T13:40:41Z", 638717], "payment_method": "virt", "time_purchased": 33.00000000000001, "reference_id": null, "mobile_payment": true, "valid_time_remaining": 14624.31247, "tax_amount": 0, "payment_received_timestamp": "2026-07-07T18:31:25Z", "payment_timestamp": "2026-07-07T18:31:25Z", "free_time_purchased": 0, "payment_amount": 25, "payment_type": "normal_payment", "subtotal_amount": 25}, {"rate_blocks": ["2026-07-07T13:40:41Z", 638717], "payment_method": "virt", "time_purchased": 10.0, "reference_id": null, "mobile_payment": true, "valid_time_remaining": 14624.300276, "tax_amount": 0, "payment_received_timestamp": "2026-07-07T18:31:26Z", "payment_timestamp": "2026-07-07T18:31:26Z", "free_time_purchased": 0, "payment_amount": 9, "payment_type": "normal_payment", "subtotal_amount": 9}, {"rate_blocks": ["2026-07-07T13:40:41Z", 638717, "2026-07-07T14:10:41Z", 638717, "2026-07-07T14:40:41Z", 638717, "2026-07-07T15:10:41Z", 638717, "2026-07-07T15:40:41Z", 638717, "2026-07-07T16:10:41Z", 638717, "2026-07-07T16:40:41Z", 638717], "payment_method": "virt", "time_purchased": 210.0, "reference_id": null, "mobile_payment": true, "valid_time_remaining": 14624.288097, "tax_amount": 0, "payment_received_timestamp": "2026-07-07T18:33:03Z", "payment_timestamp": "2026-07-07T18:33:03Z", "free_time_purchased": 0, "payment_amount": 175, "payment_type": "normal_payment", "subtotal_amount": 175}], "handicap_spot": false, "session_valid_end_timestamp": "2026-07-07T22:44:25Z", "park_timestamp": "2026-07-07T18:30:46Z"}, "error_status": {"coin_error_status": [], "card_error_details": [], "card_error_status": [], "session_error_status": "0x0", "coin_error_details": []}, "time_stamp": "2026-07-07T18:40:41Z"}]}}
